Std,Run,Laser power [W],Cutting speed [m/min],Focal position [mm],Gas pressure [bar],Rz [µm],Ra [µm],MRR,DD [%]
,,,,,,,,[mm3/min],
1,11,1500,1,-2.5,13,3.69,0.74,2020.3,1.0264
2,24,2500,1,-2.5,13,2.21,0.43,2367.81,1.0268
3,28,1500,3,-2.5,13,2.36,0.47,5353.33,1.5244
4,6,2500,3,-2.5,13,3.4,0.76,6189.06,0.9088
5,14,2000,2,-3.5,10,4.74,0.93,4539.1,1.6582
6,9,2000,2,-1.5,10,4.33,0.89,3310.71,1.2305
7,26,2000,2,-3.5,16,4.58,0.96,4283.61,1.0342
8,5,2000,2,-1.5,16,3.42,0.67,4538.32,1.5174
9,17,1500,2,-2.5,10,3.15,0.59,3241.24,1.3131
10,1,2500,2,-2.5,10,3.17,0.65,4502.19,0.9945
11,2,1500,2,-2.5,16,3.31,0.68,4184.55,1.3074
12,29,2500,2,-2.5,16,2.53,0.49,4519.06,0.7351
13,19,2000,1,-3.5,13,4.98,1.03,2338.04,1.0174
14,20,2000,3,-3.5,13,3.87,0.77,6340.24,1.3445
15,18,2000,1,-1.5,13,2.63,0.54,2070.51,1.3494
16,21,2000,3,-1.5,13,3.89,0.82,6121.94,1.4065
17,15,1500,2,-3.5,13,3.21,0.66,4044.73,1.2608
18,10,2500,2,-3.5,13,4.46,0.86,4288.95,1.3899
19,4,1500,2,-1.5,13,3.64,0.73,3879.66,1.9142
20,16,2500,2,-1.5,13,2.23,0.45,4180.18,0.9525
21,3,2000,1,-2.5,10,2.79,0.57,2097.63,0.9588
22,23,2000,3,-2.5,10,4.85,0.97,6204.26,1.2931
23,8,2000,1,-2.5,16,4.27,0.89,2078.93,0.9925
24,27,2000,3,-2.5,16,2.52,0.51,6355.23,0.8919
25,12,2000,2,-2.5,13,2.73,0.56,4010.75,1.0574
26,25,2000,2,-2.5,13,2.83,0.58,4071.45,0.9831
27,22,2000,2,-2.5,13,2.87,0.59,3814.42,1.0582
28,7,2000,2,-2.5,13,2.97,0.61,4092.38,1.0636
29,13,2000,2,-2.5,13,2.82,0.58,3983.22,1.0131
